T27,CO2 emission estimates,,,,,
218,Ecuador,2018,Emissions per capita (metric tons of carbon dioxide),2.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
218,Ecuador,2019,Emissions per capita (metric tons of carbon dioxide),2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
818,Egypt,1975,Emissions (thousand metric tons of carbon dioxide),26038,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
818,Egypt,1985,Emissions (thousand metric tons of carbon dioxide),65250,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
818,Egypt,2005,Emissions (thousand metric tons of carbon dioxide),146334,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
818,Egypt,2010,Emissions (thousand metric tons of carbon dioxide),178652,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
818,Egypt,2015,Emissions (thousand metric tons of carbon dioxide),201567,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
818,Egypt,2017,Emissions (thousand metric tons of carbon dioxide),218323,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
818,Egypt,2018,Emissions (thousand metric tons of carbon dioxide),224946,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
818,Egypt,2019,Emissions (thousand metric tons of carbon dioxide),227579,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
818,Egypt,1975,Emissions per capita (metric tons of carbon dioxide),0.7,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
818,Egypt,1985,Emissions per capita (metric tons of carbon dioxide),1.3,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
818,Egypt,2005,Emissions per capita (metric tons of carbon dioxide),1.9,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
818,Egypt,2010,Emissions per capita (metric tons of carbon dioxide),2.1,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
818,Egypt,2015,Emissions per capita (metric tons of carbon dioxide),2.2,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
818,Egypt,2017,Emissions per capita (metric tons of carbon dioxide),2.2,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
818,Egypt,2018,Emissions per capita (metric tons of carbon dioxide),2.3,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
818,Egypt,2019,Emissions per capita (metric tons of carbon dioxide),2.2,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
222,El Salvador,1975,Emissions (thousand metric tons of carbon dioxide),2411,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
222,El Salvador,1985,Emissions (thousand metric tons of carbon dioxide),2178,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
222,El Salvador,2005,Emissions (thousand metric tons of carbon dioxide),6628,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
222,El Salvador,2010,Emissions (thousand metric tons of carbon dioxide),6276,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
222,El Salvador,2015,Emissions (thousand metric tons of carbon dioxide),6800,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
222,El Salvador,2017,Emissions (thousand metric tons of carbon dioxide),6199,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
222,El Salvador,2018,Emissions (thousand metric tons of carbon dioxide),6620,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
222,El Salvador,2019,Emissions (thousand metric tons of carbon dioxide),7610,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
222,El Salvador,1975,Emissions per capita (metric tons of carbon dioxide),0.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
222,El Salvador,1985,Emissions per capita (metric tons of carbon dioxide),0.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
222,El Salvador,2005,Emissions per capita (metric tons of carbon dioxide),1.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
222,El Salvador,2010,Emissions per capita (metric tons of carbon dioxide),1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
222,El Salvador,2015,Emissions per capita (metric tons of carbon dioxide),1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
222,El Salvador,2017,Emissions per capita (metric tons of carbon dioxide),0.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
222,El Salvador,2018,Emissions per capita (metric tons of carbon dioxide),1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
222,El Salvador,2019,Emissions per capita (metric tons of carbon dioxide),1.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
226,Equatorial Guinea,1985,Emissions (thousand metric tons of carbon dioxide),47,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
226,Equatorial Guinea,2005,Emissions (thousand metric tons of carbon dioxide),5935,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
226,Equatorial Guinea,2010,Emissions (thousand metric tons of carbon dioxide),7968,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
226,Equatorial Guinea,2015,Emissions (thousand metric tons of carbon dioxide),5536,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
226,Equatorial Guinea,2017,Emissions (thousand metric tons of carbon dioxide),5274,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
226,Equatorial Guinea,2018,Emissions (thousand metric tons of carbon dioxide),5902,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
226,Equatorial Guinea,2019,Emissions (thousand metric tons of carbon dioxide),4825,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
226,Equatorial Guinea,1985,Emissions per capita (metric tons of carbon dioxide),0.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
226,Equatorial Guinea,2005,Emissions per capita (metric tons of carbon dioxide),7.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
226,Equatorial Guinea,2010,Emissions per capita (metric tons of carbon dioxide),8.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
226,Equatorial Guinea,2015,Emissions per capita (metric tons of carbon dioxide),4.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
226,Equatorial Guinea,2017,Emissions per capita (metric tons of carbon dioxide),4.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
226,Equatorial Guinea,2018,Emissions per capita (metric tons of carbon dioxide),4.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
226,Equatorial Guinea,2019,Emissions per capita (metric tons of carbon dioxide),3.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
232,Eritrea,2005,Emissions (thousand metric tons of carbon dioxide),700,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
232,Eritrea,2010,Emissions (thousand metric tons of carbon dioxide),617,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
232,Eritrea,2015,Emissions (thousand metric tons of carbon dioxide),704,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
232,Eritrea,2017,Emissions (thousand metric tons of carbon dioxide),778,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
232,Eritrea,2018,Emissions (thousand metric tons of carbon dioxide),882,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
232,Eritrea,2019,Emissions (thousand metric tons of carbon dioxide),907,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
232,Eritrea,2005,Emissions per capita (metric tons of carbon dioxide),0.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
232,Eritrea,2010,Emissions per capita (metric tons of carbon dioxide),0.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
232,Eritrea,2015,Emissions per capita (metric tons of carbon dioxide),0.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
232,Eritrea,2017,Emissions per capita (metric tons of carbon dioxide),0.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
232,Eritrea,2018,Emissions per capita (metric tons of carbon dioxide),0.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
232,Eritrea,2019,Emissions per capita (metric tons of carbon dioxide),0.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
233,Estonia,2005,Emissions (thousand metric tons of carbon dioxide),17129,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
233,Estonia,2010,Emissions (thousand metric tons of carbon dioxide),19020,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
233,Estonia,2015,Emissions (thousand metric tons of carbon dioxide),15625,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
233,Estonia,2017,Emissions (thousand metric tons of carbon dioxide),16717,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
233,Estonia,2018,Emissions (thousand metric tons of carbon dioxide),15349,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
233,Estonia,2019,Emissions (thousand metric tons of carbon dioxide),10177,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
233,Estonia,2005,Emissions per capita (metric tons of carbon dioxide),12.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
233,Estonia,2010,Emissions per capita (metric tons of carbon dioxide),14,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
233,Estonia,2015,Emissions per capita (metric tons of carbon dioxide),11.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
233,Estonia,2017,Emissions per capita (metric tons of carbon dioxide),12.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
233,Estonia,2018,Emissions per capita (metric tons of carbon dioxide),11.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
233,Estonia,2019,Emissions per capita (metric tons of carbon dioxide),7.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
231,Ethiopia,1975,Emissions (thousand metric tons of carbon dioxide),5111,Data refer to fiscal years beginning 1 July.;Excluding Eritrea.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
231,Ethiopia,1985,Emissions (thousand metric tons of carbon dioxide),6295,Data refer to fiscal years beginning 1 July.;Excluding Eritrea.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
231,Ethiopia,2005,Emissions (thousand metric tons of carbon dioxide),13664,Data refer to fiscal years beginning 1 July.;Excluding Eritrea.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
231,Ethiopia,2010,Emissions (thousand metric tons of carbon dioxide),16423,Data refer to fiscal years beginning 1 July.;Excluding Eritrea.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
231,Ethiopia,2015,Emissions (thousand metric tons of carbon dioxide),22071,Data refer to fiscal years beginning 1 July.;Excluding Eritrea.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
231,Ethiopia,2017,Emissions (thousand metric tons of carbon dioxide),25024,Data refer to fiscal years beginning 1 July.;Excluding Eritrea.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
231,Ethiopia,2018,Emissions (thousand metric tons of carbon dioxide),26559,Data refer to fiscal years beginning 1 July.;Excluding Eritrea.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
231,Ethiopia,2019,Emissions (thousand metric tons of carbon dioxide),28027,Data refer to fiscal years beginning 1 July.;Excluding Eritrea.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
231,Ethiopia,1975,Emissions per capita (metric tons of carbon dioxide),0,Data refer to fiscal years beginning 1 July.;Excluding Eritrea.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
231,Ethiopia,1985,Emissions per capita (metric tons of carbon dioxide),0,Data refer to fiscal years beginning 1 July.;Excluding Eritrea.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
231,Ethiopia,2005,Emissions per capita (metric tons of carbon dioxide),0.1,Data refer to fiscal years beginning 1 July.;Excluding Eritrea.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
231,Ethiopia,2010,Emissions per capita (metric tons of carbon dioxide),0.1,Data refer to fiscal years beginning 1 July.;Excluding Eritrea.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
231,Ethiopia,2015,Emissions per capita (metric tons of carbon dioxide),0.1,Data refer to fiscal years beginning 1 July.;Excluding Eritrea.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
231,Ethiopia,2017,Emissions per capita (metric tons of carbon dioxide),0.1,Data refer to fiscal years beginning 1 July.;Excluding Eritrea.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
231,Ethiopia,2018,Emissions per capita (metric tons of carbon dioxide),0.1,Data refer to fiscal years beginning 1 July.;Excluding Eritrea.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
231,Ethiopia,2019,Emissions per capita (metric tons of carbon dioxide),0.1,Data refer to fiscal years beginning 1 July.;Excluding Eritrea.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
246,Finland,1975,Emissions (thousand metric tons of carbon dioxide),45054,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
246,Finland,1985,Emissions (thousand metric tons of carbon dioxide),49251,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
246,Finland,2005,Emissions (thousand metric tons of carbon dioxide),56316,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
246,Finland,2010,Emissions (thousand metric tons of carbon dioxide),63641,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
246,Finland,2015,Emissions (thousand metric tons of carbon dioxide),43929,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
246,Finland,2017,Emissions (thousand metric tons of carbon dioxide),44065,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
246,Finland,2018,Emissions (thousand metric tons of carbon dioxide),45650,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
246,Finland,2019,Emissions (thousand metric tons of carbon dioxide),41793,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
246,Finland,1975,Emissions per capita (metric tons of carbon dioxide),9.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
246,Finland,1985,Emissions per capita (metric tons of carbon dioxide),9.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
246,Finland,2005,Emissions per capita (metric tons of carbon dioxide),10.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
246,Finland,2010,Emissions per capita (metric tons of carbon dioxide),11.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
246,Finland,2015,Emissions per capita (metric tons of carbon dioxide),7.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
246,Finland,2017,Emissions per capita (metric tons of carbon dioxide),7.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
246,Finland,2018,Emissions per capita (metric tons of carbon dioxide),8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
246,Finland,2019,Emissions per capita (metric tons of carbon dioxide),7.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
250,France,1975,Emissions (thousand metric tons of carbon dioxide),430943,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
250,France,1985,Emissions (thousand metric tons of carbon dioxide),359539,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
250,France,2005,Emissions (thousand metric tons of carbon dioxide),378408,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
250,France,2010,Emissions (thousand metric tons of carbon dioxide),347109,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
250,France,2015,Emissions (thousand metric tons of carbon dioxide),311650,"From 2011 onwards, data include Monaco, and the five overseas departments and exclude New Caledonia, French Polynesia, St. Barthélemy, St. Martin, St. Pierre and Miquelon, and Wallis and Futuna.","International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
250,France,2017,Emissions (thousand metric tons of carbon dioxide),318472,"From 2011 onwards, data include Monaco, and the five overseas departments and exclude New Caledonia, French Polynesia, St. Barthélemy, St. Martin, St. Pierre and Miquelon, and Wallis and Futuna.","International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
250,France,2018,Emissions (thousand metric tons of carbon dioxide),307313,"From 2011 onwards, data include Monaco, and the five overseas departments and exclude New Caledonia, French Polynesia, St. Barthélemy, St. Martin, St. Pierre and Miquelon, and Wallis and Futuna.","International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
250,France,2019,Emissions (thousand metric tons of carbon dioxide),300653,"From 2011 onwards, data include Monaco, and the five overseas departments and exclude New Caledonia, French Polynesia, St. Barthélemy, St. Martin, St. Pierre and Miquelon, and Wallis and Futuna.","International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
250,France,1975,Emissions per capita (metric tons of carbon dioxide),7.8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
250,France,1985,Emissions per capita (metric tons of carbon dioxide),6.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
250,France,2005,Emissions per capita (metric tons of carbon dioxide),5.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
250,France,2010,Emissions per capita (metric tons of carbon dioxide),5.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
250,France,2015,Emissions per capita (metric tons of carbon dioxide),4.6,"From 2011 onwards, data include Monaco, and the five overseas departments and exclude New Caledonia, French Polynesia, St. Barthélemy, St. Martin, St. Pierre and Miquelon, and Wallis and Futuna.","International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
250,France,2017,Emissions per capita (metric tons of carbon dioxide),4.6,"From 2011 onwards, data include Monaco, and the five overseas departments and exclude New Caledonia, French Polynesia, St. Barthélemy, St. Martin, St. Pierre and Miquelon, and Wallis and Futuna.","International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
250,France,2018,Emissions per capita (metric tons of carbon dioxide),4.5,"From 2011 onwards, data include Monaco, and the five overseas departments and exclude New Caledonia, French Polynesia, St. Barthélemy, St. Martin, St. Pierre and Miquelon, and Wallis and Futuna.","International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
250,France,2019,Emissions per capita (metric tons of carbon dioxide),4.4,"From 2011 onwards, data include Monaco, and the five overseas departments and exclude New Caledonia, French Polynesia, St. Barthélemy, St. Martin, St. Pierre and Miquelon, and Wallis and Futuna.","International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
266,Gabon,1975,Emissions (thousand metric tons of carbon dioxide),925,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
266,Gabon,1985,Emissions (thousand metric tons of carbon dioxide),1898,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
266,Gabon,2005,Emissions (thousand metric tons of carbon dioxide),2172,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
266,Gabon,2010,Emissions (thousand metric tons of carbon dioxide),3282,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
266,Gabon,2015,Emissions (thousand metric tons of carbon dioxide),3911,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
266,Gabon,2017,Emissions (thousand metric tons of carbon dioxide),3159,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
266,Gabon,2018,Emissions (thousand metric tons of carbon dioxide),3097,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
266,Gabon,2019,Emissions (thousand metric tons of carbon dioxide),3071,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
